note_id,date,source,region,segment,author_role,text
N-1001,2026-08-10,CRM,South,SMB,Account Executive,"Lost Vertex Retail after competitor came in 14 percent below our list price on the SMB bundle. Buyer said pricing was the only reason."
N-1002,2026-08-11,CRM,South,SMB,Account Executive,"Prospect asked for a match against a competitor quote. Discount request beyond my approval band so the deal slipped to next quarter."
N-1003,2026-08-12,CRM,South,SMB,Sales Manager,"Three SMB deals above 5K ACV stalled this week. Common theme in every call is competitor pricing pressure on the entry bundle."
N-1004,2026-08-13,Tickets,South,SMB,Support,"Customer disputes invoice date. Invoice was issued nine days after order confirmation following the billing platform cutover."
N-1005,2026-08-17,Tickets,West,MID,Billing Ops,"Billing migration batch failed overnight. Invoice generation queued and released with a delay of about nine days."
N-1006,2026-08-18,Tickets,South,SMB,Billing Ops,"Second batch of delayed invoices released. Revenue recognition for these orders moves into the following period."
N-1007,2026-08-19,CRM,South,SMB,Account Executive,"Renewal at risk. Customer benchmarking us against the competitor entry tier and asking for a 12 percent reduction."
N-1008,2026-08-20,CRM,North,ENT,Account Executive,"Enterprise pipeline is healthy. No pricing pressure reported in North this month."
N-1009,2026-08-21,Tickets,East,MID,Support,"Shipment damage on two pallets. Returns raised under the standard damage clause."
N-1010,2026-08-22,CRM,South,SMB,Sales Manager,"Win rate in South SMB is materially below plan. Deals under 5K ACV still closing, larger SMB deals are not."
N-1011,2026-08-24,Tickets,West,SMB,Support,"Customer returned four units citing a change in the returns window communicated by the reseller, not by us."
N-1012,2026-08-25,Tickets,North,MID,Support,"Return volume up slightly. Product inspection found no defect trend, units resold as new."
N-1013,2026-08-26,CRM,South,SMB,Account Executive,"Competitor is bundling implementation for free. We are still charging for it in the SMB tier."
N-1014,2026-08-26,Tickets,South,MID,Billing Ops,"Backlog of delayed invoices cleared for MID segment. SMB batch still pending validation."
N-1015,2026-08-27,CRM,East,SMB,Account Executive,"Seasonal slowdown as expected for late August. Pipeline coverage unchanged versus last year."
N-1016,2026-08-27,Tickets,West,SMB,Support,"Reseller confirmed they extended their own returns window to 45 days without notifying us. This may be inflating our return rate."
N-1017,2026-08-28,CRM,South,SMB,Sales Manager,"Requesting approval for a temporary competitive discount band for SMB deals in South."
N-1018,2026-08-28,Tickets,North,SMB,Support,"Satisfaction survey responses trending up. Customers cite faster onboarding since the July release."
